seqnames	start	end	width	strand	source	type	ID	Name	biotype
chr9	4856645	4871015	14371	+	ensembl_WGS	gene	GRMZM2G124274	GRMZM2G124274	protein_coding
chr9	5453681	5455461	1781	+	ensembl_WGS	gene	GRMZM2G171752	GRMZM2G171752	protein_coding
chr9	15995506	15996774	1269	+	ensembl_WGS	gene	GRMZM2G005080	GRMZM2G005080	protein_coding
chr9	26933283	26934420	1138	+	ensembl_WGS	gene	GRMZM2G367650	GRMZM2G367650	protein_coding
chr9	28392370	28399817	7448	+	ensembl_WGS	gene	GRMZM2G153792	GRMZM2G153792	protein_coding
chr9	29154650	29156071	1422	+	ensembl_WGS	gene	GRMZM2G156121	GRMZM2G156121	protein_coding
chr9	29404441	29405041	601	+	ensembl_WGS	gene	GRMZM2G150872	GRMZM2G150872	protein_coding
chr9	30687608	30691967	4360	+	ensembl_WGS	gene	AC212886.3_FG006	AC212886.3_FG006	protein_coding
chr9	33889758	33890935	1178	+	ensembl_WGS	gene	GRMZM2G144173	GRMZM2G144173	protein_coding
chr9	48390066	48391560	1495	+	ensembl_WGS	gene	GRMZM2G086641	GRMZM2G086641	protein_coding
chr9	50711573	50715774	4202	+	ensembl_WGS	gene	GRMZM2G129947	GRMZM2G129947	protein_coding
chr9	56590123	56604428	14306	+	ensembl_WGS	gene	GRMZM2G171031	GRMZM2G171031	protein_coding
chr9	58266086	58269602	3517	-	ensembl_WGS	gene	GRMZM5G818105	GRMZM5G818105	protein_coding
chr9	59829875	59831505	1631	+	ensembl_WGS	gene	GRMZM2G080689	GRMZM2G080689	protein_coding
chr9	62147644	62159894	12251	-	ensembl_WGS	gene	GRMZM2G044246	GRMZM2G044246	protein_coding
chr9	62923184	62924328	1145	-	ensembl_WGS	gene	GRMZM2G021879	GRMZM2G021879	protein_coding
chr9	73011211	73011570	360	-	ensembl_WGS	gene	GRMZM5G854008	GRMZM5G854008	protein_coding
chr9	76637984	76685937	47954	-	ensembl_WGS	gene	GRMZM5G874366	GRMZM5G874366	protein_coding
chr9	77291009	77291425	417	-	ensembl_WGS	gene	AC216256.3_FG004	AC216256.3_FG004	protein_coding
chr9	77700162	77702948	2787	+	ensembl_WGS	gene	GRMZM2G098988	GRMZM2G098988	protein_coding
chr9	77291009	77291425	417	-	ensembl_WGS	gene	AC216256.3_FG004	AC216256.3_FG004	protein_coding
chr9	79118794	79123438	4645	+	ensembl_WGS	gene	GRMZM2G340177	GRMZM2G340177	protein_coding
chr9	87461163	87475465	14303	-	ensembl_WGS	gene	GRMZM2G047564	GRMZM2G047564	protein_coding
chr9	91474777	91475808	1032	+	ensembl_WGS	gene	GRMZM2G074233	GRMZM2G074233	protein_coding
chr9	92590835	92592588	1754	+	ensembl_WGS	gene	GRMZM2G094781	GRMZM2G094781	protein_coding
chr9	95995211	96001343	6133	+	ensembl_WGS	gene	GRMZM2G145104	GRMZM2G145104	protein_coding
