seqnames	start	end	width	strand	source	type	ID	Name	biotype
chr9	2480539	2484500	3962	+	ensembl_WGS	gene	GRMZM5G833563	GRMZM5G833563	protein_coding
chr9	4856645	4871015	14371	+	ensembl_WGS	gene	GRMZM2G124274	GRMZM2G124274	protein_coding
chr9	9638146	9648092	9947	-	ensembl_WGS	gene	GRMZM2G033130	GRMZM2G033130	protein_coding
chr9	15995506	15996774	1269	+	ensembl_WGS	gene	GRMZM2G005080	GRMZM2G005080	protein_coding
chr9	20431547	20438473	6927	+	ensembl_WGS	gene	GRMZM2G146490	GRMZM2G146490	protein_coding
chr9	30687608	30691967	4360	+	ensembl_WGS	gene	AC212886.3_FG006	AC212886.3_FG006	protein_coding
chr9	33889758	33890935	1178	+	ensembl_WGS	gene	GRMZM2G144173	GRMZM2G144173	protein_coding
chr9	42437433	42440146	2714	+	ensembl_WGS	gene	GRMZM2G340619	GRMZM2G340619	protein_coding
chr9	43255439	43257115	1677	-	ensembl_WGS	gene	GRMZM2G093111	GRMZM2G093111	protein_coding
chr9	44341110	44341553	444	-	ensembl_WGS	gene	GRMZM5G864059	GRMZM5G864059	protein_coding
chr9	45849768	45850449	682	+	ensembl_WGS	gene	GRMZM2G113480	GRMZM2G113480	protein_coding
chr9	48390066	48391560	1495	+	ensembl_WGS	gene	GRMZM2G086641	GRMZM2G086641	protein_coding
chr9	56590123	56604428	14306	+	ensembl_WGS	gene	GRMZM2G171031	GRMZM2G171031	protein_coding
chr9	58266086	58269602	3517	-	ensembl_WGS	gene	GRMZM5G818105	GRMZM5G818105	protein_coding
chr9	59829875	59831505	1631	+	ensembl_WGS	gene	GRMZM2G080689	GRMZM2G080689	protein_coding
chr9	62147644	62159894	12251	-	ensembl_WGS	gene	GRMZM2G044246	GRMZM2G044246	protein_coding
chr9	62923184	62924328	1145	-	ensembl_WGS	gene	GRMZM2G021879	GRMZM2G021879	protein_coding
chr9	76637984	76685937	47954	-	ensembl_WGS	gene	GRMZM5G874366	GRMZM5G874366	protein_coding
